sample_id	health_status
DRS166450	Healthy
DRS166462	Healthy
DRS166468	Healthy
DRS166480	Healthy
DRS166491	Healthy
DRS166508	Healthy
DRS166509	Healthy
DRS166518	Healthy
DRS166532	Healthy
DRS166536	Healthy
DRS166541	Healthy
DRS166550	Healthy
DRS166561	Healthy
DRS166570	Healthy
DRS166575	Healthy
DRS166581	Healthy
DRS166584	Healthy
DRS166590	Healthy
DRS166594	Healthy
DRS166601	Healthy
DRS166608	Healthy
DRS166611	Healthy
DRS166615	Healthy
DRS166621	Healthy
DRS166495	Healthy
DRS166580	Healthy
DRS166599	Healthy
DRS166618	Healthy
DRS166571	Healthy
DRS166586	Healthy
DRS166497	Healthy
DRS166549	Healthy
DRS166555	Healthy
DRS166449	Healthy
DRS166451	Healthy
DRS166453	Healthy
DRS166454	Healthy
DRS166456	Healthy
DRS166461	Healthy
DRS166459	Healthy
DRS166460	Healthy
DRS166463	Healthy
DRS166464	Healthy
DRS166466	Healthy
DRS166470	Healthy
DRS166471	Healthy
DRS166473	Healthy
DRS166474	Healthy
DRS166478	Healthy
DRS166481	Healthy
DRS166476	Healthy
DRS166479	Healthy
DRS166482	Healthy
DRS166485	Healthy
DRS166486	Healthy
DRS166487	Healthy
DRS166488	Healthy
DRS166489	Healthy
DRS166490	Healthy
DRS166492	Healthy
DRS166496	Healthy
DRS166498	Healthy
DRS166501	Healthy
DRS166503	Healthy
DRS166506	Healthy
DRS166507	Healthy
DRS166511	Healthy
DRS166515	Healthy
DRS166519	Healthy
DRS166520	Healthy
DRS166522	Healthy
DRS166524	Healthy
DRS166525	Healthy
DRS166527	Healthy
DRS166529	Healthy
DRS166533	Healthy
DRS166537	Healthy
DRS166542	Healthy
DRS166543	Healthy
DRS166547	Healthy
DRS166548	Healthy
DRS166553	Healthy
DRS166556	Healthy
DRS166559	Healthy
DRS166562	Healthy
DRS166563	Healthy
DRS166568	Healthy
DRS166572	Healthy
DRS166448	Healthy
DRS166475	Healthy
DRS166523	Healthy
DRS166531	Healthy
DRS166569	Healthy
DRS166585	Healthy
DRS166579	Healthy
DRS166600	Healthy
DRS166605	Healthy
DRS166616	Healthy
DRS166455	Healthy
DRS166477	Healthy
DRS166483	Healthy
DRS166499	Healthy
DRS166512	Healthy
DRS166521	Healthy
DRS166535	Healthy
DRS166551	Healthy
DRS166565	Healthy
DRS166574	Healthy
DRS166577	Healthy
DRS166578	Healthy
DRS166583	Healthy
DRS166607	Healthy
DRS166614	Healthy
DRS166619	Healthy
